Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,100n,
"C5, C6, C7, C8",0805,4,10u,
"D1, D2, D3, D4",E6C1209RVGC2UDA,4,LED_Dual_AKAK,
"J1, J2",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J3,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J4,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J5, J6, J7, J8",PinSocket_2x02_P2.54mm_Vertical,4,Conn_02x02_Odd_Even,
"R1, R11, R16, R6",0603,4,1M,
"R10, R13, R14, R15, R18, R19, R20, R3, R4, R5, R8, R9",0603,12,1k,
"R12, R17, R2, R21, R22, R23, R24, R7",0603,8,100k,
"TP1, TP2, TP3, TP4",TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,4,TestPoint,
TP5,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,1,audio tip,
TP6,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,1,audio ring,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,NE5532DR,
