Designator,Mid X,Mid Y,Rotation,Layer
C1,137.16,-97.155,270.0,top
C2,147.066,-92.837,90.0,top
C3,161.925,-92.837,90.0,top
C4,152.019,-97.663,270.0,top
C5,163.957,-92.964,90.0,top
C6,150.114,-97.409,270.0,top
C7,149.098,-92.964,90.0,top
C8,135.255,-96.901,270.0,top
D1,138.43,-111.125,270.0,top
D2,146.05,-111.125,270.0,top
D3,153.67,-111.125,270.0,top
D4,161.29,-111.125,270.0,top
J1,132.08,-95.265,0.0,bottom
J2,190.5,-95.265,0.0,bottom
J3,170.815,-99.06,180.0,top
J4,182.245,-95.25,180.0,top
J5,138.45,-87.625,0.0,top
J6,146.07,-87.625,0.0,top
J7,153.69,-87.625,0.0,top
J8,161.31,-87.625,0.0,top
R1,137.795,-83.185,0.0,top
R10,147.955,-104.775,270.0,top
R11,153.035,-83.185,0.0,top
R12,155.575,-100.965,90.0,top
R13,152.4,-100.965,270.0,top
R14,152.4,-104.775,270.0,top
R15,155.575,-104.775,270.0,top
R16,160.655,-83.185,0.0,top
R17,160.02,-100.965,270.0,top
R18,160.02,-104.775,270.0,top
R19,163.195,-100.965,270.0,top
R2,137.16,-100.965,270.0,top
R20,163.195,-104.775,270.0,top
R21,137.16,-93.98,270.0,top
R22,147.32,-96.52,270.0,top
R23,151.765,-93.98,270.0,top
R24,161.925,-96.52,270.0,top
R3,140.335,-100.965,270.0,top
R4,137.16,-104.775,90.0,top
R5,140.335,-104.775,270.0,top
R6,145.415,-83.185,0.0,top
R7,144.78,-100.965,90.0,top
R8,147.955,-100.965,270.0,top
R9,144.78,-104.775,90.0,top
TP1,140.335,-78.74,0.0,top
TP2,148.59,-78.74,0.0,top
TP3,156.845,-78.74,0.0,top
TP4,165.1,-78.74,0.0,top
TP5,173.355,-78.74,0.0,top
TP6,181.61,-78.74,0.0,top
U1,142.24,-95.25,270.0,top
U2,156.845,-95.25,270.0,top
